Indice;Fecha_larga;Fecha_AAAAMMDD;B1;B2;B3;B4;B5;B6;C;R;Recaudación;Bote;ACE;PCE;AC1;PC1;AC2;PC2;AC3;PC3;AC4;PC4;AC5;PC5;ACR;PCR
1; Resultado del  sábado 31 de octubre de 2020;20201031; 02; 13; 21; 32; 41; 43;40;9;11.420.804,00;7.500.000;0;0,00;1;1.450.282,32;9;24.171,37;206;2.288,07;10.098;75,40;189.207;8,00;1.100.069;1,00
2; Resultado del  jueves 29 de octubre de 2020;20201029; 01; 22; 27; 34; 47; 49;11;6;11.922.707,00;6.900.000;0;0,00;3;484.212,55;8;27.236,96;242;1.950,86;12.297;62,02;216.703;8,00;1.194.511;1,00
3; Resultado del  sábado 24 de octubre de 2020;20201024; 09; 17; 24; 41; 42; 47;39;1;11.151.323,00;4.600.000;0;0,00;0;0,00;3;70.455,67;193;2.372,86;9.982;74,11;186.914;8,00;1.045.136;1,00
4; Resultado del  jueves 22 de octubre de 2020;20201022; 13; 17; 31; 36; 39; 43;19;6;11.491.673,00;3.900.000;0;0,00;1;1.462.654,74;9;24.377,58;244;1.948,21;10.887;70,53;189.327;8,00;1.140.605;1,00
5; Resultado del  sábado 17 de octubre de 2020;20201017; 01; 07; 39; 40; 41; 46;33;3;10.836.034,00;0;0;0,00;0;0,00;4;54.461,03;123;3.837,36;7.562;100,83;155.685;8,00;1.099.638;1,00
6; Resultado del  jueves 15 de octubre de 2020;20201015; 01; 10; 13; 23; 42; 48;40;2;11.793.269,00;9.200.000;1;8.245.677,96;3;480.519,87;5;43.246,79;185;2.532,47;11.223;67,43;212.884;8,00;1.140.690;1,00
7; Resultado del  sábado 10 de octubre de 2020;20201010; 01; 04; 16; 27; 36; 44;40;4;11.478.341,00;7.200.000;0;0,00;0;0,00;1;217.165,29;183;2.571,17;10.142;74,94;193.229;8,00;1.138.181;1,00
8; Resultado del  jueves 8 de octubre de 2020;20201008; 01; 06; 09; 11; 21; 39;19;1;12.047.568,00;5.000.000;0;0,00;0;0,00;8;26.215,30;284;1.599,99;14.128;51,96;240.754;8,00;1.132.129;1,00
9; Resultado del  sábado 3 de octubre de 2020;20201003; 05; 12; 13; 27; 42; 48;14;5;11.361.871,00;4.300.000;0;0,00;1;1.309.882,38;3;65.494,12;259;1.643,67;13.472;51,05;229.767;8,00;1.243.060;1,00
10; Resultado del  jueves 1 de octubre de 2020;20201001; 04; 06; 10; 25; 29; 41;19;8;11.828.917,00;3.700.000;0;0,00;1;1.451.784,26;3;72.589,21;217;2.174,33;11.782;64,69;211.694;8,00;1.178.110;1,00
11; Resultado del  sábado 26 de septiembre de 2020;20200926; 07; 10; 14; 15; 26; 46;20;0;10.966.740,00;0;0;0,00;0;0,00;8;23.439,85;195;2.083,54;12.534;52,36;226.215;8,00;1.013.862;1,00
12; Resultado del  jueves 24 de septiembre de 2020;20200924; 03; 10; 13; 15; 31; 48;43;6;11.743.320,00;6.700.000;1;5.526.935,64;2;650.670,00;7;27.885,86;282;1.499,77;14.569;46,89;253.893;8,00;1.174.838;1,00
13; Resultado del  sábado 19 de septiembre de 2020;20200919; 07; 17; 19; 35; 42; 44;06;5;11.229.205,00;6.000.000;0;0,00;1;1.355.852,10;2;101.688,91;179;2.461,74;10.985;64,80;207.939;8,00;1.222.302;1,00
14; Resultado del  jueves 17 de septiembre de 2020;20200917; 08; 18; 19; 20; 36; 40;37;9;11.693.901,00;3.600.000;0;0,00;0;0,00;4;56.748,23;173;2.842,88;9.714;81,79;184.880;8,00;1.129.786;1,00
15; Resultado del  sábado 12 de septiembre de 2020;20200912; 05; 18; 25; 28; 35; 46;02;4;10.852.376,00;0;0;0,00;0;0,00;4;48.210,26;185;2.258,50;11.898;56,73;208.694;8,00;1.075.906;1,00
16; Resultado del  jueves 10 de septiembre de 2020;20200910; 23; 29; 30; 36; 37; 43;33;7;12.200.558,00;12.000.000;1;10.821.418,53;4;404.985,91;7;34.713,08;201;2.619,31;9.209;92,35;180.049;8,00;1.319.379;1,00
