ANIO;TRIM;PIB;REC;AT
2000;1;5.38;14894774.93923077;2000-1
2000;2;5.43;15067112.363076925;2000-2
2000;3;5.16;14105867.236296294;2000-3
2000;4;5.02;15936807.182307692;2000-4
2001;1;4.41;18506496.444615383;2001-1
2001;2;3.87;20678619.040769227;2001-2
2001;3;3.74;17996772.91269231;2001-3
2001;4;3.43;18301473.740000002;2001-4
2002;1;2.83;18947916.24230769;2002-1
2002;2;2.96;18330467.019230768;2002-2
2002;3;2.64;19343252.446153846;2002-3
2002;4;2.69;19076947.115384616;2002-4
2003;1;3.22;21219206.384615384;2003-1
2003;2;2.86;19657787.576923076;2003-2
2003;3;2.9;18976392.46153846;2003-3
2003;4;3.0;19849906.153846152;2003-4
2004;1;2.65;21241199.846153848;2004-1
2004;2;3.14;19122089.384615384;2004-2
2004;3;3.44;18289384.777777776;2004-3
2004;4;3.26;18654043.192307692;2004-4
2005;1;3.64;18458200.807692308;2005-1
2005;2;3.55;18417705.692307692;2005-2
2005;3;3.56;17053661.46153846;2005-3
2005;4;3.9;17984271.703703705;2005-4
2006;1;4.06;18400132.76;2006-1
2006;2;4.14;17605763.807692308;2006-2
2006;3;4.12;17041131.703703705;2006-3
2006;4;4.06;18103804.923076924;2006-4
2007;1;3.83;18482290.53846154;2007-1
2007;2;3.76;18082206.307692308;2007-2
2007;3;3.59;17350720.692307692;2007-3
2007;4;3.26;18268010.576923076;2007-4
2008;1;2.56;18955237.346153848;2008-1
2008;2;1.76;17765568.269230768;2008-2
2008;3;0.78;17313838.269230768;2008-3
2008;4;-1.45;17409290.923076924;2008-4
2009;1;-4.2;17601199.384615384;2009-1
2009;2;-4.34;17330728.153846152;2009-2
2009;3;-3.96;16540818.807692308;2009-3
2009;4;-2.44;17383423.85185185;2009-4
2010;1;0.11;16851671.84;2010-1
2010;2;0.28;16483707.653846154;2010-2
2010;3;0.02;15478093.925925925;2010-3
2010;4;0.12;16789126.115384616;2010-4
2011;1;-0.01;16607909.615384616;2011-1
2011;2;-0.46;15628363.538461538;2011-2
2011;3;-1.05;14952219.961538462;2011-3
2011;4;-1.74;14961398.74074074;2011-4
2012;1;-2.52;15194292.423076924;2012-1
2012;2;-3.16;14258506.961538462;2012-2
2012;3;-3.01;13559588.76923077;2012-3
2012;4;-3.15;13900815.038461538;2012-4
2013;1;-2.53;13704056.192307692;2013-1
2013;2;-1.66;14421634.846153846;2013-2
2013;3;-1.23;13956830.461538462;2013-3
2013;4;-0.29;13872901.916666666;2013-4
2014;1;0.4;15484479.26923077;2014-1
2014;2;0.94;13752849.36;2014-2
2014;3;1.75;13219960.75;2014-3
2014;4;2.45;13332062.541666666;2014-4
2015;1;3.25;13983150.2;2015-1
2015;2;3.87;13057133.615384616;2015-2
2015;3;4.05;15474153.5;2015-3
2015;4;4.16;15583090.962962963;2015-4
2016;1;3.67;13452039.576923076;2016-1
2016;2;3.02;13687580.47826087;2016-2
2016;3;2.98;13679483.923076924;2016-3
2016;4;2.48;12903277.0;2016-4
2017;1;2.55;12878233.28;2017-1
2017;2;3.16;12725801.423076924;2017-2
2017;3;2.82;12206302.592592593;2017-3
2017;4;3.03;12693391.0;2017-4
2018;1;2.77;12156999.5;2018-1
2018;2;2.29;13025645.884615384;2018-2
2018;3;2.24;12462852.72;2018-3
2018;4;2.12;13716247.961538462;2018-4
2019;1;2.15;12859464.08;2019-1
2019;2;1.96;12443568.461538462;2019-2
2019;3;1.86;12087414.884615384;2019-3
2019;4;1.78;12012742.0;2019-4
2020;1;-4.03;12394819.136363637;2020-1
2020;2;-21.5;10264089.0;2020-2
2020;3;-8.7;11556577.833333334;2020-3
